[Communities & Crime] Loading from UCI repository...
  Shape: (1994, 127)  |  Classes: [np.float64(0.0), np.float64(0.01), np.float64(0.02), np.float64(0.03), np.float64(0.04), np.float64(0.05), np.float64(0.06), np.float64(0.07), np.float64(0.08), np.float64(0.09), np.float64(0.1), np.float64(0.11), np.float64(0.12), np.float64(0.13), np.float64(0.14), np.float64(0.15), np.float64(0.16), np.float64(0.17), np.float64(0.18), np.float64(0.19), np.float64(0.2), np.float64(0.21), np.float64(0.22), np.float64(0.23), np.float64(0.24), np.float64(0.25), np.float64(0.26), np.float64(0.27), np.float64(0.28), np.float64(0.29), np.float64(0.3), np.float64(0.31), np.float64(0.32), np.float64(0.33), np.float64(0.34), np.float64(0.35), np.float64(0.36), np.float64(0.37), np.float64(0.38), np.float64(0.39), np.float64(0.4), np.float64(0.41), np.float64(0.42), np.float64(0.43), np.float64(0.44), np.float64(0.45), np.float64(0.46), np.float64(0.47), np.float64(0.48), np.float64(0.49), np.float64(0.5), np.float64(0.51), np.float64(0.52), np.float64(0.53), np.float64(0.54), np.float64(0.55), np.float64(0.56), np.float64(0.57), np.float64(0.58), np.float64(0.59), np.float64(0.6), np.float64(0.61), np.float64(0.62), np.float64(0.63), np.float64(0.64), np.float64(0.65), np.float64(0.66), np.float64(0.67), np.float64(0.68), np.float64(0.69), np.float64(0.7), np.float64(0.71), np.float64(0.72), np.float64(0.73), np.float64(0.74), np.float64(0.75), np.float64(0.76), np.float64(0.77), np.float64(0.78), np.float64(0.79), np.float64(0.8), np.float64(0.81), np.float64(0.82), np.float64(0.83), np.float64(0.84), np.float64(0.85), np.float64(0.86), np.float64(0.87), np.float64(0.88), np.float64(0.89), np.float64(0.9), np.float64(0.91), np.float64(0.93), np.float64(0.94), np.float64(0.95), np.float64(0.96), np.float64(0.97), np.float64(1.0)]
  Binarizing violent-crime rate at median = 0.1500
  Dropped non-numeric columns: ['OtherPerCap', 'LemasSwornFT', 'LemasSwFTPerPop', 'LemasSwFTFieldOps', 'LemasSwFTFieldPerPop', 'LemasTotalReq', 'LemasTotReqPerPop', 'PolicReqPerOffic', 'PolicPerPop', 'RacialMatchCommPol', 'PctPolicWhite', 'PctPolicBlack', 'PctPolicHisp', 'PctPolicAsian', 'PctPolicMinor', 'OfficAssgnDrugUnits', 'NumKindsDrugsSeiz', 'PolicAveOTWorked', 'PolicCars', 'PolicOperBudg', 'LemasPctPolicOnPatr', 'LemasGangUnitDeploy', 'PolicBudgPerPop']
  Shape: (1994, 99)  |  Class balance:
1    0.522568
0    0.477432
Name: proportion, dtype: float64
  [FairPreprocess] Dropped: ['racepctblack']
============================================================
Model: CART  |  Dataset: communities
Params: max_depth=6, min_samples_split=10, min_samples_leaf=5
============================================================
Test accuracy:           0.7970
Majority-class baseline: 0.5238
Split features (40): PctKids2Par, racePctWhite, PctKids2Par, PctIlleg, PctHousLess3BR, racePctWhite, racePctHisp, PctWorkMomYoungKids, PctSameCity85, PctEmploy, racePctWhite, PersPerOccupHous, PctNotSpeakEnglWell, PctKids2Par, MalePctNevMarr, agePct12t29, PctPersOwnOccup, householdsize, PctKids2Par, PctHousLess3BR, PctKids2Par, OwnOccLowQuart, NumInShelters, PctLess9thGrade, PctHousNoPhone, HispPerCap, MedOwnCostPctInc, MedOwnCostPctInc, PctWOFullPlumb, population, PctLargHouseFam, PersPerFam, medFamInc, PersPerFam, RentLowQ, medFamInc, AsianPerCap, householdsize, PctWorkMom, PctWorkMomYoungKids

Fairness — racepctblack:
           Group       n       Acc   PosRate
------------------------------------------------
               0.0      31    0.8387    0.0645 (!)
              0.01      64    0.7969    0.1719
              0.02      53    0.7358    0.2830
              0.03      27    0.9259    0.3704 (!)
              0.04      13    0.8462    0.4615 (!)
              0.05      12    0.5833    0.4167 (!)
              0.06      11    0.8182    0.2727 (!)
              0.07      10    0.7000    0.6000 (!)
              0.08       9    0.8889    0.4444 (!)
              0.09      12    0.8333    0.5833 (!)
               0.1       6    1.0000    0.6667 (!)
              0.11       8    0.5000    0.1250 (!)
              0.12       6    0.8333    0.6667 (!)
              0.13       6    0.5000    0.6667 (!)
              0.14       4    0.5000    0.2500 (!)
              0.15       8    0.7500    0.8750 (!)
              0.16       5    0.6000    0.8000 (!)
              0.17       5    0.8000    0.8000 (!)
              0.18       3    0.6667    0.6667 (!)
              0.19       5    1.0000    0.8000 (!)
               0.2       4    0.7500    0.7500 (!)
              0.21       3    0.3333    0.6667 (!)
              0.22       1    1.0000    0.0000 (!)
              0.24       3    0.3333    1.0000 (!)
              0.25       2    0.5000    0.5000 (!)
              0.27       2    1.0000    1.0000 (!)
              0.28       1    1.0000    1.0000 (!)
               0.3       3    1.0000    1.0000 (!)
              0.31       1    1.0000    1.0000 (!)
              0.33       7    0.7143    0.8571 (!)
              0.34       1    1.0000    0.0000 (!)
              0.35       3    0.6667    0.6667 (!)
              0.36       1    1.0000    1.0000 (!)
              0.37       5    0.8000    1.0000 (!)
              0.38       5    1.0000    1.0000 (!)
              0.39       1    1.0000    1.0000 (!)
               0.4       2    1.0000    1.0000 (!)
              0.41       3    0.6667    1.0000 (!)
              0.42       1    1.0000    1.0000 (!)
              0.44       1    1.0000    1.0000 (!)
              0.45       1    1.0000    1.0000 (!)
              0.46       2    0.5000    1.0000 (!)
              0.47       2    0.5000    1.0000 (!)
              0.48       1    1.0000    1.0000 (!)
              0.49       1    1.0000    1.0000 (!)
              0.51       1    1.0000    1.0000 (!)
              0.52       1    1.0000    1.0000 (!)
              0.53       1    1.0000    1.0000 (!)
              0.54       1    1.0000    1.0000 (!)
              0.55       2    0.5000    1.0000 (!)
              0.56       3    1.0000    1.0000 (!)
              0.57       1    1.0000    0.0000 (!)
              0.59       1    1.0000    1.0000 (!)
               0.6       2    0.5000    0.5000 (!)
              0.62       2    1.0000    1.0000 (!)
              0.65       1    1.0000    1.0000 (!)
              0.66       2    1.0000    1.0000 (!)
              0.72       1    1.0000    1.0000 (!)
              0.74       1    1.0000    1.0000 (!)
              0.75       1    1.0000    1.0000 (!)
              0.76       2    1.0000    1.0000 (!)
              0.77       2    1.0000    1.0000 (!)
              0.78       1    1.0000    1.0000 (!)
              0.81       1    1.0000    1.0000 (!)
              0.87       1    1.0000    1.0000 (!)
              0.89       1    1.0000    1.0000 (!)
               0.9       1    1.0000    1.0000 (!)
              0.91       1    1.0000    1.0000 (!)
               1.0      13    0.9231    1.0000 (!)
------------------------------------------------
  (!) n<50: 0.0(n=31), 0.03(n=27), 0.04(n=13), 0.05(n=12), 0.06(n=11), 0.07(n=10), 0.08(n=9), 0.09(n=12), 0.1(n=6), 0.11(n=8), 0.12(n=6), 0.13(n=6), 0.14(n=4), 0.15(n=8), 0.16(n=5), 0.17(n=5), 0.18(n=3), 0.19(n=5), 0.2(n=4), 0.21(n=3), 0.22(n=1), 0.24(n=3), 0.25(n=2), 0.27(n=2), 0.28(n=1), 0.3(n=3), 0.31(n=1), 0.33(n=7), 0.34(n=1), 0.35(n=3), 0.36(n=1), 0.37(n=5), 0.38(n=5), 0.39(n=1), 0.4(n=2), 0.41(n=3), 0.42(n=1), 0.44(n=1), 0.45(n=1), 0.46(n=2), 0.47(n=2), 0.48(n=1), 0.49(n=1), 0.51(n=1), 0.52(n=1), 0.53(n=1), 0.54(n=1), 0.55(n=2), 0.56(n=3), 0.57(n=1), 0.59(n=1), 0.6(n=2), 0.62(n=2), 0.65(n=1), 0.66(n=2), 0.72(n=1), 0.74(n=1), 0.75(n=1), 0.76(n=2), 0.77(n=2), 0.78(n=1), 0.81(n=1), 0.87(n=1), 0.89(n=1), 0.9(n=1), 0.91(n=1), 1.0(n=13)
  Statistical parity diff:  0.1111  (max - min pos rate)
  Disparate impact ratio:   0.6073  (<0.8 usually unfair)
  Equal opportunity diff:   0.0919  (TPR gap)
  [FairCalibrate] SP diff: 1.0000 → 0.5000 (target rate=0.4912)

Fairness — racepctblack (calibrated):
           Group       n       Acc   PosRate
------------------------------------------------
               0.0      31    0.5484    0.4839 (!)
              0.01      64    0.5469    0.4844
              0.02      53    0.6415    0.4906
              0.03      27    0.8148    0.4815 (!)
              0.04      13    0.8462    0.4615 (!)
              0.05      12    0.6667    0.5000 (!)
              0.06      11    0.6364    0.4545 (!)
              0.07      10    0.8000    0.5000 (!)
              0.08       9    0.8889    0.4444 (!)
              0.09      12    0.9167    0.5000 (!)
               0.1       6    0.8333    0.5000 (!)
              0.11       8    0.8750    0.5000 (!)
              0.12       6    0.6667    0.5000 (!)
              0.13       6    0.6667    0.5000 (!)
              0.14       4    0.7500    0.5000 (!)
              0.15       8    0.6250    0.5000 (!)
              0.16       5    0.2000    0.4000 (!)
              0.17       5    0.4000    0.4000 (!)
              0.18       3    0.3333    0.3333 (!)
              0.19       5    0.6000    0.4000 (!)
               0.2       4    0.5000    0.5000 (!)
              0.21       3    0.6667    0.3333 (!)
              0.22       1    1.0000    0.0000 (!)
              0.24       3    1.0000    0.3333 (!)
              0.25       2    0.5000    0.5000 (!)
              0.27       2    0.5000    0.5000 (!)
              0.28       1    0.0000    0.0000 (!)
               0.3       3    0.3333    0.3333 (!)
              0.31       1    0.0000    0.0000 (!)
              0.33       7    0.5714    0.4286 (!)
              0.34       1    1.0000    0.0000 (!)
              0.35       3    1.0000    0.3333 (!)
              0.36       1    0.0000    0.0000 (!)
              0.37       5    0.2000    0.4000 (!)
              0.38       5    0.4000    0.4000 (!)
              0.39       1    0.0000    0.0000 (!)
               0.4       2    0.5000    0.5000 (!)
              0.41       3    0.6667    0.3333 (!)
              0.42       1    0.0000    0.0000 (!)
              0.44       1    0.0000    0.0000 (!)
              0.45       1    0.0000    0.0000 (!)
              0.46       2    1.0000    0.5000 (!)
              0.47       2    1.0000    0.5000 (!)
              0.48       1    0.0000    0.0000 (!)
              0.49       1    0.0000    0.0000 (!)
              0.51       1    0.0000    0.0000 (!)
              0.52       1    0.0000    0.0000 (!)
              0.53       1    0.0000    0.0000 (!)
              0.54       1    0.0000    0.0000 (!)
              0.55       2    1.0000    0.5000 (!)
              0.56       3    0.3333    0.3333 (!)
              0.57       1    1.0000    0.0000 (!)
              0.59       1    0.0000    0.0000 (!)
               0.6       2    0.5000    0.5000 (!)
              0.62       2    0.5000    0.5000 (!)
              0.65       1    0.0000    0.0000 (!)
              0.66       2    0.5000    0.5000 (!)
              0.72       1    0.0000    0.0000 (!)
              0.74       1    0.0000    0.0000 (!)
              0.75       1    0.0000    0.0000 (!)
              0.76       2    0.5000    0.5000 (!)
              0.77       2    0.5000    0.5000 (!)
              0.78       1    0.0000    0.0000 (!)
              0.81       1    0.0000    0.0000 (!)
              0.87       1    0.0000    0.0000 (!)
              0.89       1    0.0000    0.0000 (!)
               0.9       1    0.0000    0.0000 (!)
              0.91       1    0.0000    0.0000 (!)
               1.0      13    0.5385    0.4615 (!)
------------------------------------------------
  (!) n<50: 0.0(n=31), 0.03(n=27), 0.04(n=13), 0.05(n=12), 0.06(n=11), 0.07(n=10), 0.08(n=9), 0.09(n=12), 0.1(n=6), 0.11(n=8), 0.12(n=6), 0.13(n=6), 0.14(n=4), 0.15(n=8), 0.16(n=5), 0.17(n=5), 0.18(n=3), 0.19(n=5), 0.2(n=4), 0.21(n=3), 0.22(n=1), 0.24(n=3), 0.25(n=2), 0.27(n=2), 0.28(n=1), 0.3(n=3), 0.31(n=1), 0.33(n=7), 0.34(n=1), 0.35(n=3), 0.36(n=1), 0.37(n=5), 0.38(n=5), 0.39(n=1), 0.4(n=2), 0.41(n=3), 0.42(n=1), 0.44(n=1), 0.45(n=1), 0.46(n=2), 0.47(n=2), 0.48(n=1), 0.49(n=1), 0.51(n=1), 0.52(n=1), 0.53(n=1), 0.54(n=1), 0.55(n=2), 0.56(n=3), 0.57(n=1), 0.59(n=1), 0.6(n=2), 0.62(n=2), 0.65(n=1), 0.66(n=2), 0.72(n=1), 0.74(n=1), 0.75(n=1), 0.76(n=2), 0.77(n=2), 0.78(n=1), 0.81(n=1), 0.87(n=1), 0.89(n=1), 0.9(n=1), 0.91(n=1), 1.0(n=13)
  Statistical parity diff:  0.0062  (max - min pos rate)
  Disparate impact ratio:   0.9874  (<0.8 usually unfair)
  Equal opportunity diff:   0.1434  (TPR gap)
  Calibrated accuracy: 0.6040 (was 0.7970, Δ=-0.1930)
Training time: 3.815s
